property_name,area,room_number,bathroom_type,price_monthly,deposit,status,available_from,public_note,last_updated,has_ac,has_wifi,has_water_heater,shared_kitchen,shared_fridge,electricity,fingerprint_access,capacity_persons,accepts_couple
KATALIA 3 No. 8,Lembah Hijau,A1,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,A2,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,A3,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,A5,kamar mandi luar,"1,100,000","500,000",available,,"available marker in source: Luar 1,1",,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,A6,kamar mandi luar,"1,100,000","500,000",available,,"available marker in source: Luar 1,1",,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B1,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B2,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B3,kamar mandi luar,"1,200,000","500,000",available,,available marker in source: Luar 1.2,,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B5,,,"500,000",occupied,,,,TRUE,TRUE,,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B6,kamar mandi luar,"1,100,000","500,000",available,,"available marker in source: Luar 1,1",,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,B7,kamar mandi luar,"1,100,000","500,000",available,,"available marker in source: Luar 1,1",,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,C1,kamar mandi luar,"1,100,000","500,000",available,,available marker in source: Luar 1,,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
KATALIA 3 No. 8,Lembah Hijau,C2,kamar mandi luar,"1,100,000","500,000",available,,available marker in source: Luar 1,,TRUE,TRUE,FALSE,TRUE,TRUE,token bayar sendiri,TRUE,1,FALSE
